station_name,place_name,bar,dog_park,restaurant,distance,place_latitude,place_longitude,station_latitude,station_longitude,slots,free_bikes,empty_slots,place_rating
Broomhill,Deoch an Dorus,1.0,0.0,0.0,718.0918247556224,55.8707019,-4.3098154,55.871005,-4.321313,12,2,10,3.9
Bellahouston Park,Exhale Lounge,0.0,0.0,1.0,225.4730621870073,55.8482572,-4.3176836,55.849072,-4.314376,8,11,0,5.0
Bellahouston Park,Woodville Airms,1.0,0.0,0.0,738.7255915900505,55.85571,-4.310811,55.849072,-4.314376,8,11,0,0.0
Botanic Gardens - ELECTRIC,Ubiquitous Chip,1.0,0.0,0.0,477.5428933848497,55.8749146052102,-4.29324745449333,55.878278,-4.288487,8,2,5,4.4
Botanic Gardens - ELECTRIC,The Doublet,1.0,0.0,0.0,812.6141758730088,55.873208223852,-4.27910444842786,55.878278,-4.288487,8,2,5,4.3
Botanic Gardens - ELECTRIC,The Parlour,1.0,0.0,0.0,177.77644190751764,55.877191,-4.290577,55.878278,-4.288487,8,2,5,5.0
Botanic Gardens - ELECTRIC,La Lanterna,0.0,0.0,1.0,602.472036802185,55.8749217167495,-4.2809047707226,55.878278,-4.288487,8,2,5,4.2
The Round Toll,The Hug & Pint,1.0,0.0,0.0,723.854410205431,55.872187,-4.272383,55.87422,-4.26136,8,1,6,4.3
The Round Toll,Saramago at the CCA,0.0,0.0,1.0,963.9250488129336,55.865829342337,-4.26524234536048,55.87422,-4.26136,8,1,6,4.2
Firhill Road - ELECTRIC,Inn Deep,1.0,0.0,0.0,861.2036965667899,55.8749497041252,-4.28076267242432,55.878787,-4.26877,7,1,5,4.2
Mount Vernon Railway Station,The Woodend,1.0,0.0,0.0,796.8320320641413,55.8396968461841,-4.14796241418174,55.840336,-4.135251,8,6,2,0.0
Cathcart Railway Station,Old Smiddy,1.0,0.0,0.0,412.2695115877472,55.8150464,-4.2575284,55.817338,-4.262688,12,4,8,4.3
Shawlands Railway Station - ELECTRIC,Linen 1906,0.0,0.0,1.0,993.1466068782098,55.8306443910736,-4.28087446275129,55.827371,-4.29567,8,5,3,3.7
Shawlands Railway Station - ELECTRIC,The Granary,1.0,0.0,0.0,924.2295718548796,55.830129,-4.28171,55.827371,-4.29567,8,5,3,3.4
Anniesland Library,Esquire House,1.0,0.0,0.0,292.80161337385465,55.888369,-4.321868,55.890398,-4.324766,8,3,3,3.1
Anniesland Library,Little SoHo Jordanhill,0.0,0.0,1.0,816.9171139002416,55.8830697434096,-4.32569414513686,55.890398,-4.324766,8,3,3,3.5
Anniesland Library,B J's,1.0,0.0,0.0,25.56124009113656,55.890623,-4.324682,55.890398,-4.324766,8,3,3,1.7
